GEOID_JOIN,LAT,LON,POPULATION,WEIGHTED_DEMAND,TIER_LABEL,MULTIPLIER,METHOD,ASSIGNED_SID,ASSIGNED_NAME,TRAVEL_TIME_MIN
1.2103E+11,28.0500645,-82.6914878,2164,1731.2,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,6.660118996751506
1.2103E+11,27.8450428,-82.6600384,1191,1012.35,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,5.410967788829757
1.2103E+11,27.8544912,-82.6534922,1228,982.4,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,6.846831731215328
1.2103E+11,27.8452502,-82.6507598,1020,867.0,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,9.005009039917777
1.2103E+11,27.8702006,-82.7243636,2421,484.2,X Shaded — 500-yr,0.2,PuLP_CBC,16,Lealman Exchange,8.73845234656747
1.2103E+11,27.9207845,-82.7164497,346,294.1,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,8.964062343023045
1.2103E+11,27.8970235,-82.6704353,1793,1524.05,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,10.613273327755952
1.2103E+11,27.9053613,-82.6449239,1683,1430.55,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,12.427488740897216
1.2103E+11,28.0808662,-82.7045192,1255,1255.0,AE Floodway,1.0,PuLP_CBC,1,Palm Harbor Middle,6.56721589893263
1.2103E+11,28.0718524,-82.7085989,1927,1541.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,5.577992799871436
1.2103E+11,28.0745893,-82.6694139,2066,1652.8,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,8.635433815713164
1.2103E+11,28.0740722,-82.6870824,1675,1340.0,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,8.775038882581354
1.2103E+11,28.0650995,-82.6964305,1860,1488.0,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,5.874689580583772
1.2103E+11,28.0599826,-82.7008467,2137,1709.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,5.475061595233056
1.2103E+11,28.0472945,-82.6592841,2824,2400.4,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,10.56982185945986
1.2103E+11,27.8811844,-82.6945405,1670,1336.0,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,7.542722726814003
1.2103E+11,27.9120264,-82.722251,2201,1870.85,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,8.163556005631873
1.2103E+11,27.8958933,-82.8492414,507,430.95,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,7.557432146751029
1.2103E+11,27.8953575,-82.8435166,1589,1350.65,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,7.544696411321662
1.2103E+11,27.9157734,-82.8433723,726,617.1,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,5.328816379669677
1.2103E+11,27.9029487,-82.7257909,1593,79.65,X Unshaded / Minimal,0.05,PuLP_CBC,17,Mildred Helms Elementary,8.446547201775662
1.2103E+11,27.9052024,-82.7087502,1105,939.25,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,9.67478232245917
1.2103E+11,27.9045518,-82.7068218,2546,2164.1,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,9.872440751938392
1.2103E+11,27.8375585,-82.6801265,1103,937.55,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,3.056849970696435
1.2103E+11,27.8258162,-82.6857341,977,781.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,2.70015448901584
1.2103E+11,27.8250523,-82.6948854,1013,202.6,X Shaded — 500-yr,0.2,PuLP_CBC,16,Lealman Exchange,1.9286639943244843
1.2103E+11,27.8224317,-82.686662,975,48.75,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,0.6300127406769083
1.2103E+11,27.8849648,-82.8514073,658,559.3,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,8.240005310187932
1.2103E+11,27.8488791,-82.8439567,608,516.8,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,12.064706406367913
1.2103E+11,27.861535,-82.8482619,534,453.9,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,10.629860569562103
1.2103E+11,27.8032436,-82.8025834,468,397.8,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,12.502283795076588
1.2103E+11,27.8110183,-82.6897823,779,38.95,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,2.439863804628564
1.2103E+11,27.8105865,-82.6845201,698,34.9,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,1.9156726325891325
1.2103E+11,27.8266508,-82.7248073,1303,1042.4,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,3.838799010092556
1.2103E+11,27.823726,-82.7166067,939,751.2,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,2.264496540939615
1.2103E+11,27.8170119,-82.7179561,1521,1216.8,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,3.1866274386650684
1.2103E+11,27.8628901,-82.7225104,1203,240.6,X Shaded — 500-yr,0.2,PuLP_CBC,16,Lealman Exchange,7.524610858621036
1.2103E+11,27.873081,-82.7327693,1698,1443.3,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,9.3804222907276
1.2103E+11,27.8796017,-82.7559935,1130,226.0,X Shaded — 500-yr,0.2,PuLP_CBC,17,Mildred Helms Elementary,6.715793643025866
1.2103E+11,27.7958961,-82.7825141,2297,1952.45,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,13.842947681758544
1.2103E+11,27.7111796,-82.7283321,1356,1356.0,VE/V — Coastal High Hazard,1.0,PuLP_CBC,8,Sanderlin K-8,9.21872478111572
1.2103E+11,27.7168007,-82.7396221,400,400.0,VE/V — Coastal High Hazard,1.0,PuLP_CBC,8,Sanderlin K-8,10.937070609366964
1.2103E+11,27.8760747,-82.7716868,1828,1553.8,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,8.029906593409608
1.2103E+11,27.8587989,-82.7558704,1017,203.4,X Shaded — 500-yr,0.2,PuLP_CBC,17,Mildred Helms Elementary,8.977071150766156
1.2103E+11,27.8173773,-82.7411398,1265,1265.0,AE Floodway,1.0,PuLP_CBC,16,Lealman Exchange,4.64134974589058
1.2103E+11,27.8191179,-82.7329707,1217,973.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,3.847439596029567
1.2103E+11,27.8142043,-82.7559232,587,498.95,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,6.604837681661575
1.2103E+11,27.8108419,-82.7425224,1801,1530.85,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,5.557164357111157
1.2103E+11,27.8301985,-82.776859,1681,1428.85,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,9.56351654530812
1.2103E+11,27.7487654,-82.7212655,1976,1679.6,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,5.038159822803162
1.2103E+11,27.7471256,-82.7391396,937,796.45,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,8.378246020789508
1.2103E+11,27.7555345,-82.7351875,1122,953.7,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,7.734496876729938
1.2103E+11,27.7592899,-82.7385946,1204,1023.4,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,7.435789643216752
1.2103E+11,27.7805093,-82.6746951,1104,220.8,X Shaded — 500-yr,0.2,PuLP_CBC,8,Sanderlin K-8,4.414019434758924
1.2103E+11,27.7654914,-82.6964445,645,32.25,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,4.829927587706606
1.2103E+11,27.7695927,-82.6937034,710,35.5,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,4.956526113131242
1.2103E+11,27.7675913,-82.6824542,814,40.7,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,3.699464321303593
1.2103E+11,27.7772811,-82.7033081,1176,58.8,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,5.809322750710526
1.2103E+11,27.7671298,-82.7069388,429,21.45,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,6.226197574586455
1.2103E+11,27.7687849,-82.7271645,555,27.75,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,7.790744816610895
1.2103E+11,27.775859,-82.7315782,1044,52.2,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,8.384909680119147
1.2103E+11,27.7759131,-82.725453,578,28.9,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,7.874572556312622
1.2103E+11,27.7759263,-82.7172322,2285,114.25,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,7.07920369604278
1.2103E+11,28.0012781,-82.7933787,1106,940.1,AE Coastal Floodplain,0.85,PuLP_CBC,14,Skycrest Elementary,6.89275665244301
1.2103E+11,28.0965547,-82.7273458,2073,414.6,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,5.273052195294086
1.2103E+11,28.0677233,-82.7120775,1365,1092.0,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,3.808962698419996
1.2103E+11,28.1528461,-82.7336242,1619,1376.15,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,11.080815991273576
1.2103E+11,27.7788352,-82.7411102,863,733.55,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,9.307711252956642
1.2103E+11,27.7869269,-82.7420621,1674,334.8,X Shaded — 500-yr,0.2,PuLP_CBC,16,Lealman Exchange,8.129097637120985
1.2103E+11,27.7986015,-82.7561673,1177,1000.45,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,8.138861658081613
1.2103E+11,27.7866762,-82.7483657,776,659.6,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,9.63976733737944
1.2103E+11,27.7860122,-82.7166824,1343,1074.4,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,6.949046522180628
1.2103E+11,27.7855542,-82.7255245,1494,1195.2,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,7.165242258966609
1.2103E+11,27.788165,-82.7352335,1948,97.4,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,8.318039934548874
1.2103E+11,27.8071376,-82.7433586,848,42.4,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,6.420770544314695
1.2103E+11,28.0860255,-82.764866,1792,1523.2,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,3.020109103677968
1.2103E+11,28.075473,-82.7537095,605,121.0,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,0.9462330301171484
1.2103E+11,28.0640734,-82.7554153,1111,55.55,X Unshaded / Minimal,0.05,PuLP_CBC,1,Palm Harbor Middle,0.2535565295682253
1.2103E+11,27.7994496,-82.733478,1573,1573.0,AE Floodway,1.0,PuLP_CBC,16,Lealman Exchange,7.386738659013603
1.2103E+11,27.8036807,-82.7156533,1461,1461.0,AE Floodway,1.0,PuLP_CBC,16,Lealman Exchange,3.755946383251093
1.2103E+11,27.7953645,-82.71811,2728,2182.4,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,5.577882002534016
1.2103E+11,27.8008634,-82.7252592,1883,1506.4,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,5.482748184568649
1.2103E+11,27.7895404,-82.7082283,847,677.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,4.68922228922196
1.2103E+11,27.7840463,-82.7088153,1079,53.95,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,5.544507936343882
1.2103E+11,27.804379,-82.7035624,1362,1362.0,AE Floodway,1.0,PuLP_CBC,16,Lealman Exchange,2.584440947041194
1.2103E+11,27.794376,-82.7051783,1407,1125.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,4.391119294299489
1.2103E+11,27.8008791,-82.708732,1804,1443.2,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,3.882790669571728
1.2103E+11,27.7868012,-82.682613,1410,282.0,X Shaded — 500-yr,0.2,PuLP_CBC,8,Sanderlin K-8,5.459631666218649
1.2103E+11,27.7873147,-82.6907848,2385,477.0,X Shaded — 500-yr,0.2,PuLP_CBC,16,Lealman Exchange,5.57145167241761
1.2103E+11,27.7863549,-82.697941,491,24.55,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,4.4870075339902655
1.2103E+11,27.8046436,-82.6859523,1926,96.3,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,3.0129025047800395
1.2103E+11,27.8043604,-82.6964705,934,46.7,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,2.591480802010537
1.2103E+11,27.8312451,-82.7329541,2871,2440.35,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,4.625051255715096
1.2103E+11,27.832052,-82.7438675,1979,1682.15,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,7.687459403372562
1.2103E+11,27.8249895,-82.7518185,1613,1371.05,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,6.3137724548561405
1.2103E+11,27.8356162,-82.7657038,2006,1705.1,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,8.667406026461215
1.2103E+11,28.0487499,-82.6798495,2221,1776.8,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,8.617523599290596
1.2103E+11,27.8311218,-82.7817805,871,740.35,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,9.507864251361088
1.2103E+11,27.8242257,-82.7831707,1632,326.4,X Shaded — 500-yr,0.2,PuLP_CBC,16,Lealman Exchange,10.707379280465688
1.2103E+11,27.8180868,-82.796196,1202,1202.0,VE/V — Coastal High Hazard,1.0,PuLP_CBC,17,Mildred Helms Elementary,10.29944784121731
1.2103E+11,27.8170302,-82.7897397,1095,930.75,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,10.475561054779572
1.2103E+11,27.8018877,-82.6872403,2003,100.15,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,4.286186113192559
1.2103E+11,27.7958413,-82.6907819,1020,51.0,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,3.936070966300576
1.2103E+11,27.7955164,-82.6968649,1211,60.55,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,3.6429483747312656
1.2103E+11,27.7887365,-82.6703066,1227,245.4,X Shaded — 500-yr,0.2,PuLP_CBC,8,Sanderlin K-8,4.928431991935842
1.2103E+11,27.7805851,-82.6651942,1389,69.45,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,4.059659047264234
1.2103E+11,27.7952004,-82.6694187,657,32.85,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,4.810711198589448
1.2103E+11,27.7996742,-82.6650497,1488,74.4,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,4.981362397513342
1.2103E+11,27.796142,-82.6589699,846,42.3,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,5.395203787878632
1.2103E+11,27.803918,-82.6508355,1262,63.1,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,5.009993203951447
1.2103E+11,27.798434,-82.65085,1147,57.35,X Unshaded / Minimal,0.05,PuLP_CBC,16,Lealman Exchange,5.807497418824228
1.2103E+11,27.7938797,-82.6508239,613,30.65,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,5.847270613172968
1.2103E+11,27.7866272,-82.6511067,785,39.25,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,4.8587415216391765
1.2103E+11,27.780214,-82.6542684,1025,51.25,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,4.165830595619527
